"","kmeans_result_2","kmeans_result_3","kmeans_result_5","labels_average","labels_complete","labels_single","dbscan_smal","dbscan_med","dbscan_big"
"565",1,3,3,1,1,1,0,1,1
"566",1,3,3,1,1,1,0,1,1
"567",2,2,1,1,1,1,0,0,1
"568",2,2,4,1,1,1,0,0,1
"569",1,2,3,1,1,1,0,0,1
"570",1,2,3,1,1,1,0,1,1
"571",1,3,5,1,1,1,2,1,1
"572",2,2,3,1,1,1,0,0,1
"573",2,1,1,1,1,1,0,0,1
"574",2,2,1,1,1,1,0,1,1
"575",1,2,3,1,1,1,0,1,1
"576",1,2,3,1,1,1,1,1,1
"577",1,2,3,1,1,1,0,0,1
"578",1,2,3,1,1,1,3,1,1
"579",2,2,4,1,1,1,0,0,0
"580",2,2,1,1,1,1,0,0,1
"581",1,2,4,1,1,1,0,0,0
"582",1,3,5,1,1,1,0,0,1
"583",2,2,1,1,1,1,0,0,1
"584",1,2,3,1,1,1,1,1,1
"585",2,1,1,1,1,1,0,0,1
"586",2,2,1,1,1,1,0,0,1
"587",1,3,3,1,1,1,0,1,1
"588",1,2,3,1,1,1,3,1,1
"589",1,2,3,1,1,1,0,1,1
"590",1,2,3,1,1,1,0,0,1
"591",2,2,1,1,1,1,0,1,1
"592",1,3,3,1,1,1,0,1,1
"593",1,3,5,1,1,1,2,1,1
"594",1,3,5,1,1,1,2,1,1
"595",1,3,3,1,1,1,0,0,1
"596",1,3,5,1,1,1,2,1,1
"597",2,2,1,1,1,1,0,1,1
"598",2,2,1,1,1,1,0,0,1
"599",1,3,5,1,1,1,0,0,4
"600",1,3,5,1,1,1,2,1,1
"601",2,1,2,2,2,1,0,0,0
"602",2,2,1,1,1,1,0,1,1
"603",1,2,3,1,1,1,3,1,1
"604",1,2,3,1,1,1,3,1,1
"605",1,2,3,1,1,1,3,1,1
"606",2,2,1,1,1,1,0,1,1
"607",1,2,3,1,1,1,0,1,1
"608",2,2,4,1,1,1,0,0,0
"609",1,2,3,1,1,1,3,1,1
"610",1,3,5,1,1,1,2,1,1
"611",1,3,5,1,1,1,2,1,1
"612",1,2,3,1,1,1,0,1,1
"613",1,2,3,1,1,1,0,0,0
"614",1,3,5,1,1,1,2,1,1
"615",1,3,5,1,1,1,2,1,1
"616",1,3,5,1,1,1,2,1,1
"617",1,3,5,1,1,1,2,1,1
"618",1,2,3,1,1,1,3,1,1
"619",2,2,3,1,1,1,0,1,1
"620",1,3,4,1,1,1,0,0,0
"621",2,1,2,1,2,1,0,0,3
"622",1,3,5,1,1,1,0,1,1
"623",2,2,1,1,1,1,0,1,1
"624",1,3,3,1,1,1,0,1,1
"625",1,2,3,1,1,1,3,1,1
"626",1,3,5,1,1,1,0,1,1
"627",1,3,4,1,1,1,0,0,0
"628",1,3,5,1,1,1,2,1,1
"629",1,3,5,1,1,1,2,1,1
"630",1,2,3,1,1,1,0,2,1
"631",1,2,3,1,1,1,3,1,1
"632",1,3,5,1,1,1,2,1,1
"633",2,2,1,1,1,1,0,1,1
"634",1,3,5,1,1,1,0,1,1
"635",2,2,1,1,1,1,0,1,1
"636",2,1,2,1,2,1,0,0,0
"637",1,2,3,1,1,1,0,1,1
"638",1,3,5,1,1,1,0,0,2
"639",1,3,5,1,1,1,2,1,1
"640",2,2,1,1,1,1,0,1,1
"641",1,3,5,1,1,1,0,1,1
"642",2,2,1,1,1,1,0,1,1
"643",1,3,5,1,1,1,0,1,1
"644",2,2,1,1,1,1,0,1,1
"645",1,3,5,1,1,1,0,0,0
"646",2,2,1,1,1,1,0,1,1
"647",1,3,3,1,1,1,0,1,1
"648",1,2,3,1,1,1,0,1,1
"649",1,2,4,1,1,1,0,0,1
"650",1,2,3,1,1,1,3,1,1
"651",1,3,5,1,1,1,0,0,0
"652",2,1,2,1,2,1,0,0,0
"653",2,2,1,1,1,1,0,1,1
"654",1,2,3,1,1,1,0,1,1
"655",2,2,1,1,1,1,0,1,1
"656",2,1,1,1,1,1,0,0,0
