"","kmeans_result_2","kmeans_result_3","kmeans_result_5","labels_average","labels_complete","labels_single","dbscan_smal","dbscan_med","dbscan_big"
"207",2,2,2,1,2,1,0,0,0
"208",2,2,1,1,2,1,0,0,0
"209",1,1,1,1,3,1,0,0,0
"210",1,1,3,1,3,1,15,5,1
"211",2,2,2,1,2,1,1,1,1
"212",1,1,3,1,3,1,0,0,1
"213",1,1,3,1,3,1,0,5,1
"214",1,1,3,1,3,1,0,0,0
"215",1,2,1,1,2,1,0,8,6
"216",1,1,3,1,3,1,0,3,1
"217",1,1,5,1,3,1,0,6,1
"218",2,2,2,1,2,1,0,1,1
"219",1,1,5,1,3,1,0,6,1
"220",1,1,5,1,3,1,0,6,1
"221",1,1,3,1,3,1,0,0,0
"222",1,1,5,1,3,1,7,3,1
"223",1,1,1,1,3,1,0,0,0
"224",1,1,3,1,3,1,0,0,1
"225",2,3,4,1,1,1,0,0,0
"226",2,3,4,1,1,1,0,0,0
"227",1,2,5,1,2,1,0,0,1
"228",1,2,5,1,2,1,8,1,1
"229",2,2,2,1,2,1,2,1,1
"230",2,2,2,1,2,1,2,1,1
"231",1,1,3,1,3,1,0,0,1
"232",2,3,2,1,2,1,0,0,1
"233",2,2,2,1,2,1,0,0,0
"234",1,1,3,1,3,1,4,3,1
"235",2,2,2,1,2,1,0,0,0
"236",1,2,5,1,2,1,0,6,1
"237",1,1,5,1,3,1,0,4,1
"238",1,1,5,1,3,1,12,3,1
"239",1,1,3,1,3,1,0,7,1
"240",2,2,2,1,2,1,0,0,1
"241",1,1,5,1,3,1,0,6,1
"242",1,1,5,1,3,1,5,4,1
"243",1,1,1,1,3,1,0,0,0
"244",1,2,5,1,2,1,0,1,1
"245",1,1,1,1,3,1,0,0,0
"246",1,1,3,1,3,1,0,0,0
"247",2,3,4,1,1,1,0,0,0
"248",2,2,2,1,2,1,13,1,1
"249",1,1,5,1,3,1,12,3,1
"250",2,2,1,1,2,1,0,0,0
"251",1,2,5,1,2,1,0,1,1
"252",2,2,2,1,2,1,6,1,1
"253",1,1,5,1,3,1,0,3,1
"254",1,1,3,1,3,1,14,3,1
"255",1,1,5,1,2,1,7,3,1
"256",1,1,3,1,3,1,4,3,1
"257",2,2,2,1,2,1,0,0,0
"258",1,1,3,1,3,1,0,4,1
"259",2,2,2,1,2,1,0,0,0
"260",2,2,2,1,2,1,0,0,1
"261",1,1,5,1,3,1,0,3,1
"262",1,1,3,1,3,1,0,0,4
"263",1,1,3,1,3,1,4,3,1
"264",2,2,2,1,2,1,0,0,0
"265",1,1,1,1,3,1,0,0,0
"266",1,1,5,1,2,1,0,3,1
"267",1,1,3,1,3,1,0,0,1
"268",1,1,3,1,3,1,10,3,1
"269",2,2,2,1,2,1,0,0,1
"270",1,1,3,1,3,1,4,3,1
"271",2,3,2,1,2,1,0,0,0
"272",2,3,4,1,1,1,0,0,0
"273",1,1,3,1,3,1,11,3,1
"274",2,3,2,1,1,1,0,0,0
"275",1,2,1,1,2,1,0,8,6
"276",2,2,2,1,2,1,0,0,1
"277",1,1,5,1,3,1,7,3,1
"278",1,1,5,1,3,1,0,0,1
"279",1,1,3,1,3,1,14,3,1
"280",2,2,2,1,2,1,1,1,1
"281",1,2,1,1,3,1,0,0,6
"282",1,1,3,1,3,1,0,0,0
"283",1,1,3,1,3,1,4,3,1
"284",1,1,3,1,3,1,0,7,1
